,Gender,Married,Dependents,Education,Self_Employed,Credit_History,Property_Area,Loan_Status,Total,Debt/Income,EMI
48,Female,Yes,0,Graduate,No,0.0,Urban,0,6085.0,19.72062448644207,11.772
49,Female,No,0,Graduate,No,1.0,Semiurban,1,6275.0,22.948207171314742,14.1264
50,Female,Yes,0,Not Graduate,No,1.0,Semiurban,1,3572.0,27.99552071668533,9.81
51,Female,No,0,Graduate,No,1.0,Semiurban,1,3086.0,38.8852883992223,11.772
52,Female,No,0,Graduate,No,1.0,Semiurban,0,4230.0,26.47754137115839,10.987200000000001
53,Male,Yes,2,Graduate,No,1.0,Urban,0,4616.0,29.02946273830156,13.145399999999999
54,Female,Yes,1,Graduate,Yes,0.0,Urban,0,11500.0,24.869565217391305,28.0566
55,Male,Yes,2,Graduate,No,1.0,Semiurban,1,3875.0,25.032258064516128,9.5157
56,Male,Yes,0,Graduate,No,1.0,Semiurban,1,3723.0,25.785656728444803,9.4176
57,Male,Yes,0,Graduate,No,1.0,Rural,0,5566.0,24.254401724757457,13.243500000000001
58,Male,Yes,1,Graduate,No,1.0,Urban,1,10330.0,17.424975798644724,17.658
59,Male,Yes,2,Not Graduate,No,1.0,Urban,1,6216.0,23.166023166023166,14.1264
60,Male,Yes,0,Graduate,No,1.0,Urban,1,6296.0,19.05972045743329,11.772
61,Male,Yes,3,Graduate,No,1.0,Urban,1,3029.0,32.684054143281614,9.711900000000002
62,Male,Yes,0,Not Graduate,Yes,0.0,Rural,0,6058.0,27.23671178606801,16.1865
63,Male,Yes,1,Graduate,No,0.0,Rural,0,4945.0,25.88473205257836,12.5568
64,Female,No,0,Graduate,No,0.0,Semiurban,0,4166.0,27.84445511281805,11.3796
65,Male,Yes,0,Graduate,No,1.0,Semiurban,0,10321.0,24.997577754093594,25.3098
66,Male,No,0,Not Graduate,No,0.0,Urban,0,5454.0,23.102310231023104,12.3606
67,Male,Yes,1,Graduate,No,1.0,Urban,1,10750.0,29.023255813953487,30.6072
68,Male,Yes,3,Not Graduate,Yes,1.0,Urban,1,7100.0,17.6056338028169,12.262500000000001
69,Female,No,0,Graduate,No,0.0,Semiurban,0,4300.0,31.627906976744185,13.3416
70,Male,Yes,0,Graduate,No,1.0,Urban,1,6274.0,27.41472744660504,16.873199999999997
71,Male,Yes,2,Not Graduate,Yes,1.0,Semiurban,1,3750.0,25.866666666666667,9.5157
72,Male,No,0,Graduate,No,1.0,Semiurban,1,3500.0,23.142857142857142,7.946100000000001
73,Male,Yes,3,Not Graduate,No,0.0,Semiurban,0,4755.0,19.978969505783386,9.3195
74,Male,Yes,3,Graduate,Yes,1.0,Semiurban,1,7040.0,26.5625,18.3447
75,Male,No,0,Graduate,No,1.0,Urban,0,3750.0,30.133333333333333,11.085300000000002
76,Male,No,0,Graduate,No,1.0,Urban,0,8500.0,20.705882352941178,17.2656
77,Male,Yes,1,Graduate,Yes,1.0,Urban,0,4022.0,27.349577324714073,10.791000000000002
78,Male,Yes,3,Graduate,No,0.0,Semiurban,0,7167.0,25.115110925073253,17.658
79,Male,Yes,3,Not Graduate,Yes,1.0,Semiurban,1,5499.0,23.64066193853428,12.753
80,Female,No,0,Graduate,No,1.0,Semiurban,1,3846.0,28.861154446177846,10.889100000000001
81,Male,Yes,1,Graduate,Yes,1.0,Semiurban,1,2395.0,53.4446764091858,12.5568
82,Female,Yes,2,Graduate,No,1.0,Urban,0,3259.0,51.2427124884934,16.3827
83,Male,Yes,0,Graduate,No,1.0,Semiurban,0,8250.0,32.121212121212125,25.996499999999997
84,Male,Yes,1,Graduate,No,1.0,Urban,1,3988.0,12.537612838515546,4.905000000000001
85,Male,No,0,Graduate,No,1.0,Semiurban,1,4897.0,27.77210537063508,13.3416
86,Male,Yes,2,Not Graduate,No,1.0,Semiurban,1,5333.0,18.5636602287643,9.711900000000002
87,Male,Yes,0,Graduate,No,1.0,Semiurban,1,4618.0,22.52057167605024,10.202399999999999
88,Male,No,0,Graduate,No,1.0,Urban,1,8566.0,24.515526500116742,20.601
89,Male,Yes,0,Graduate,No,1.0,Semiurban,1,9862.0,17.744879334820524,17.1675
90,Male,Yes,0,Graduate,No,1.0,Semiurban,1,5858.0,22.362581085694778,12.851099999999999
91,Male,Yes,2,Graduate,No,1.0,Semiurban,1,11904.0,15.793010752688172,18.4428
92,Male,Yes,2,Not Graduate,No,1.0,Urban,1,5093.0,15.904182210877675,7.946100000000001
93,Male,No,0,Graduate,No,1.0,Semiurban,1,4133.0,29.518509557222355,11.968200000000003
94,Male,No,0,Not Graduate,No,1.0,Semiurban,1,3620.0,6.906077348066298,2.4525
95,Male,No,0,Graduate,No,1.0,Urban,0,6782.0,18.873488646416988,12.5568
96,Female,Yes,0,Graduate,No,1.0,Semiurban,1,4786.0,28.625156707062263,13.4397
97,Male,Yes,0,Graduate,No,1.0,Semiurban,1,2974.0,16.812373907195695,4.905
98,Male,Yes,0,Not Graduate,No,1.0,Semiurban,1,4188.0,27.45940783190067,11.281500000000001
99,Male,Yes,0,Graduate,No,1.0,Semiurban,1,5300.0,24.71698113207547,12.851099999999999
100,Male,Yes,2,Not Graduate,No,1.0,Urban,1,7551.0,17.61356111773275,13.047299999999998
101,Male,No,0,Graduate,No,1.0,Semiurban,1,8649.0,17.458665741704245,14.8131
102,Male,Yes,0,Graduate,No,1.0,Urban,1,13650.0,9.377289377289378,12.5568
103,Male,Yes,0,Graduate,No,1.0,Semiurban,1,8235.0,15.54341226472374,12.5568
104,Male,Yes,0,Graduate,No,1.0,Urban,1,4570.0,35.010940919037196,15.696
105,Male,Yes,1,Graduate,No,1.0,Urban,1,4082.0,24.49779519843214,9.81
106,Male,Yes,2,Graduate,No,1.0,Urban,1,12543.0,17.93829227457546,22.0725
107,Male,No,0,Not Graduate,No,1.0,Rural,0,7333.0,16.36438019909996,11.772
108,Male,Yes,2,Graduate,No,0.0,Urban,0,7400.0,29.18918918918919,21.1896
109,Male,Yes,3,Not Graduate,No,1.0,Semiurban,1,2825.0,33.27433628318584,9.221400000000001
110,Male,No,0,Graduate,No,1.0,Urban,1,5316.0,25.583145221971407,13.3416
111,Female,Yes,0,Graduate,No,1.0,Semiurban,1,5262.0,26.415811478525274,13.6359
112,Male,Yes,0,Not Graduate,No,0.0,Rural,0,7686.0,19.776216497527972,14.911200000000001
113,Female,No,1,Graduate,Yes,1.0,Semiurban,1,7451.0,17.17890216078379,12.5568
114,Male,No,0,Graduate,No,1.0,Semiurban,1,5050.0,23.366336633663366,11.5758
115,Male,Yes,1,Graduate,No,1.0,Rural,1,14583.0,12.686004251525748,18.1485
116,Female,Yes,0,Graduate,No,1.0,Semiurban,1,5450.0,28.256880733944953,15.1074
117,Male,Yes,1,Graduate,No,1.0,Urban,1,3612.0,23.53266888150609,8.3385
118,Male,Yes,0,Graduate,No,1.0,Rural,0,7710.0,22.69779507133593,17.1675
119,Female,No,0,Graduate,No,1.0,Urban,1,10408.0,24.884704073789393,25.4079
120,Male,Yes,0,Graduate,No,1.0,Rural,1,8334.0,21.598272138228943,17.658
121,Female,No,0,Graduate,No,1.0,Semiurban,1,4166.0,10.561689870379261,4.3164
122,Female,No,0,Graduate,No,0.0,Semiurban,1,11117.0,12.323468561662319,13.4397
123,Male,Yes,2,Graduate,No,1.0,Semiurban,1,2957.0,27.392627663172135,7.946100000000001
124,Male,Yes,0,Not Graduate,No,1.0,Rural,1,6314.0,30.725372188786825,19.0314
125,Female,No,0,Graduate,No,1.0,Rural,1,3692.0,25.189599133261105,9.1233
126,Male,Yes,3,Graduate,No,1.0,Rural,1,23803.0,15.544259127000798,36.297
127,Male,No,0,Graduate,No,1.0,Rural,1,5505.0,23.251589464123523,12.5568
128,Male,Yes,1,Graduate,Yes,0.0,Urban,0,14363.0,11.139734038849822,15.695999999999998
129,Male,Yes,0,Graduate,No,1.0,Rural,0,8649.0,21.042895132385247,17.8542
130,Male,No,0,Graduate,Yes,1.0,Urban,1,20166.0,32.2324704948924,63.765
131,Male,No,0,Graduate,No,1.0,Urban,1,3943.0,18.76743596246513,7.2594
132,Male,No,0,Graduate,No,1.0,Semiurban,1,2718.0,25.754231052244297,6.867000000000001
133,Male,Yes,0,Graduate,Yes,1.0,Semiurban,1,3459.0,7.227522405319457,2.4525
134,Male,No,0,Graduate,No,1.0,Semiurban,1,4895.0,20.83758937691522,10.0062
135,Male,Yes,3,Graduate,No,1.0,Semiurban,0,11750.0,24.680851063829788,28.448999999999998
136,Female,Yes,0,Graduate,No,1.0,Rural,0,4583.0,18.328605716779403,8.2404
137,Male,Yes,2,Graduate,Yes,1.0,Urban,1,6816.0,12.910798122065728,8.6328
138,Male,No,0,Graduate,No,0.0,Semiurban,0,14999.0,16.134408960597373,23.7402
139,Male,Yes,2,Not Graduate,No,1.0,Rural,0,5630.0,22.912966252220247,12.6549
140,Male,Yes,2,Graduate,No,1.0,Rural,0,7125.0,25.964912280701753,18.1485
141,Male,No,0,Graduate,No,1.0,Urban,1,5417.0,31.013476093778845,16.4808
142,Male,No,0,Graduate,Yes,1.0,Semiurban,1,6950.0,25.179856115107913,17.1675
143,Male,Yes,0,Graduate,No,1.0,Semiurban,1,4732.0,25.78191039729501,11.968200000000003
144,Male,Yes,2,Graduate,No,1.0,Urban,1,11757.0,15.905418048821979,18.3447
145,Female,Yes,0,Graduate,No,1.0,Semiurban,1,6816.0,14.671361502347418,9.81
146,Female,Yes,2,Graduate,No,1.0,Urban,1,14866.0,4.708731333243644,6.867000000000001
147,Male,Yes,1,Graduate,No,1.0,Urban,1,2963.0,10.12487343908201,2.943
148,Female,No,0,Graduate,No,1.0,Rural,0,11666.0,19.286816389507973,22.0725
149,Male,Yes,0,Graduate,No,1.0,Semiurban,1,5690.0,21.968365553602812,12.262500000000001
150,Male,No,0,Graduate,No,0.0,Rural,0,6277.0,18.798789230524136,11.5758
151,Male,Yes,0,Graduate,Yes,1.0,Rural,1,6327.0,24.024024024024023,14.911200000000001
152,Male,No,0,Graduate,No,1.0,Urban,0,9166.0,26.620117826751038,23.936400000000006
153,Male,Yes,2,Not Graduate,No,1.0,Rural,0,2281.0,49.53967558088558,11.0853
154,Male,No,0,Graduate,No,1.0,Urban,1,3254.0,15.365703749231715,4.905
155,Male,Yes,3,Graduate,No,0.0,Semiurban,1,39999.0,15.000375009375235,58.86000000000001
156,Male,Yes,1,Graduate,No,1.0,Rural,1,6000.0,26.666666666666668,15.696
157,Male,Yes,1,Graduate,No,1.0,Urban,1,9538.0,19.605787376808554,18.3447
158,Male,No,0,Graduate,No,1.0,Rural,1,5063.0,23.70136282836263,11.772
159,Male,Yes,0,Graduate,No,1.0,Semiurban,1,10208.0,24.980407523510973,25.015500000000003
160,Male,Yes,0,Not Graduate,No,1.0,Semiurban,1,2904.0,33.7465564738292,9.6138
161,Male,Yes,0,Graduate,No,1.0,Urban,0,7933.0,34.665322072355984,26.9775
162,Male,Yes,1,Graduate,No,0.0,Semiurban,0,4369.0,27.695124742504007,11.8701
163,Male,Yes,2,Graduate,No,1.0,Rural,1,5614.0,28.14392589953687,15.4998
164,Male,Yes,0,Graduate,No,1.0,Urban,1,9323.0,8.04462083020487,7.357500000000001
165,Male,Yes,0,Graduate,No,1.0,Rural,1,6873.0,26.480430670740578,17.8542
166,Female,Yes,0,Graduate,No,1.0,Rural,0,4583.0,24.43814095570587,10.987200000000001
167,Male,Yes,0,Graduate,No,1.0,Rural,1,5772.0,22.34927234927235,12.6549
168,Male,No,0,Graduate,No,0.0,Semiurban,0,2237.0,28.162717925793473,6.180300000000001
169,Male,Yes,2,Graduate,No,1.0,Semiurban,1,8000.0,25.0,19.62
170,Male,Yes,0,Not Graduate,No,1.0,Rural,1,3589.0,26.469768737809975,9.3195
171,Male,Yes,3,Graduate,No,1.0,Urban,1,51763.0,13.523172922744045,68.67
172,Male,Yes,3,Not Graduate,No,1.0,Rural,0,3522.0,22.998296422487222,7.9461
173,Male,Yes,0,Graduate,No,1.0,Semiurban,1,11333.0,16.500485308391422,18.3447
174,Male,Yes,0,Not Graduate,Yes,1.0,Semiurban,0,5080.0,17.125984251968504,8.5347
175,Male,Yes,0,Graduate,No,1.0,Rural,1,5461.0,21.241530855154732,11.3796
176,Male,Yes,2,Graduate,No,1.0,Rural,1,3664.0,27.565502183406114,9.908100000000001
177,Male,Yes,3,Graduate,No,0.0,Semiurban,0,16816.0,29.436251189343484,48.5595
178,Male,Yes,1,Graduate,No,1.0,Semiurban,1,3750.0,30.933333333333334,11.3796
179,Male,No,0,Not Graduate,No,0.0,Urban,0,3784.0,26.955602536997887,10.0062
180,Male,Yes,1,Graduate,No,0.0,Urban,0,13650.0,13.186813186813186,17.658
181,Male,No,0,Graduate,No,1.0,Rural,0,6979.0,9.60022925920619,6.572699999999999
182,Male,Yes,0,Graduate,No,1.0,Semiurban,1,4600.0,15.869565217391305,7.1613
183,Male,Yes,1,Graduate,No,1.0,Semiurban,0,33846.0,7.68185309933227,25.506
184,Female,Yes,0,Graduate,No,1.0,Semiurban,1,3625.0,29.79310344827586,10.5948
185,Male,Yes,0,Graduate,Yes,1.0,Semiurban,1,43897.0,2.7336720049206096,11.772
186,Male,Yes,1,Graduate,Yes,0.0,Rural,0,2178.0,30.303030303030305,6.474600000000001
187,Male,Yes,0,Graduate,No,1.0,Rural,1,4521.0,12.829020128290201,5.6898
188,Male,Yes,0,Graduate,Yes,1.0,Rural,1,5970.0,28.14070351758794,16.4808
189,Male,Yes,0,Graduate,No,1.0,Rural,1,9328.0,20.154373927958833,18.4428
190,Male,No,0,Not Graduate,No,1.0,Rural,1,4885.0,9.825997952917094,4.7088
191,Male,No,0,Graduate,No,1.0,Semiurban,0,12000.0,13.666666666666666,16.0884
192,Male,Yes,0,Not Graduate,No,1.0,Urban,0,6033.0,26.52080225426819,15.696
193,Male,No,0,Graduate,No,1.0,Semiurban,1,3858.0,19.699326075686884,7.4556000000000004
194,Male,No,0,Graduate,No,1.0,Rural,1,4191.0,28.63278453829635,11.772
195,Male,Yes,1,Graduate,No,1.0,Semiurban,0,5708.0,29.782761037140855,16.677
196,Male,No,0,Graduate,No,1.0,Rural,1,12083.0,15.476289001075891,18.3447
197,Female,No,0,Not Graduate,No,1.0,Urban,1,4272.0,28.089887640449437,11.772
198,Female,Yes,0,Graduate,No,1.0,Semiurban,1,6232.0,18.13222079589217,11.0853
199,Male,No,0,Graduate,Yes,1.0,Urban,0,11000.0,7.545454545454546,8.1423
200,Male,Yes,1,Not Graduate,No,1.0,Semiurban,1,5100.0,17.647058823529413,8.829
201,Male,No,2,Graduate,No,0.0,Semiurban,1,4923.0,33.719276863701,16.2846
202,Male,Yes,3,Not Graduate,No,1.0,Urban,0,3992.0,32.06412825651302,12.556799999999999
203,Male,Yes,1,Not Graduate,No,1.0,Urban,1,4583.0,29.456687759109755,13.243500000000001
204,Male,Yes,2,Not Graduate,No,1.0,Semiurban,1,3917.0,31.65688026550932,12.164400000000002
205,Female,No,0,Not Graduate,No,1.0,Semiurban,1,4408.0,27.22323049001815,11.772
206,Female,No,0,Graduate,No,1.0,Urban,1,3244.0,24.66091245376079,7.848
207,Male,No,0,Not Graduate,No,1.0,Rural,1,6506.0,8.453735013833384,5.395500000000001
208,Male,No,0,Graduate,No,1.0,Urban,1,2479.0,23.79991932230738,5.7879
209,Male,No,0,Graduate,No,1.0,Semiurban,0,3418.0,37.15623171445289,12.4587
210,Female,No,0,Graduate,No,1.0,Semiurban,0,10000.0,21.4,20.9934
211,Male,Yes,3,Graduate,No,0.0,Semiurban,0,4680.0,27.35042735042735,12.5568
212,Male,Yes,1,Graduate,Yes,1.0,Urban,1,7787.0,30.820598433286246,23.544
213,Male,Yes,3,Not Graduate,Yes,1.0,Rural,1,5703.0,22.79502016482553,12.753
214,Male,Yes,0,Graduate,No,1.0,Urban,1,6194.0,22.118178882789795,13.4397
215,Male,Yes,3,Not Graduate,No,1.0,Semiurban,1,4833.0,20.69108214359611,9.81
216,Male,Yes,0,Graduate,No,1.0,Rural,0,1950.0,69.23076923076923,13.243500000000001
217,Male,Yes,0,Graduate,No,1.0,Semiurban,1,5502.0,23.80952380952381,12.851099999999999
218,Male,Yes,2,Graduate,No,0.0,Semiurban,0,5000.0,14.4,7.0632
219,Female,Yes,2,Graduate,No,1.0,Semiurban,1,6666.0,19.05190519051905,12.4587
220,Male,Yes,0,Graduate,No,0.0,Urban,0,2221.0,27.014858171994597,5.886
221,Male,Yes,2,Graduate,No,1.0,Semiurban,1,5726.0,20.258470136220748,11.3796
222,Male,No,0,Graduate,No,1.0,Semiurban,1,5762.0,24.99132245748004,14.1264
223,Male,Yes,0,Graduate,No,1.0,Semiurban,1,8588.0,20.3772706101537,17.1675
224,Male,Yes,0,Graduate,No,1.0,Semiurban,1,6250.0,20.48,12.5568
225,Male,Yes,0,Graduate,No,1.0,Rural,0,3250.0,52.30769230769231,16.677
226,Male,Yes,0,Not Graduate,Yes,1.0,Urban,0,4735.0,29.14466737064414,13.537799999999999
227,Male,Yes,2,Graduate,No,1.0,Semiurban,1,7945.0,26.431718061674008,20.601
228,Male,Yes,0,Graduate,No,1.0,Semiurban,1,4758.0,33.2072299285414,15.499800000000002
229,Male,No,0,Graduate,Yes,1.0,Rural,1,6400.0,31.25,19.62
230,Male,Yes,1,Graduate,No,1.0,Semiurban,1,4545.0,22.882288228822883,10.202399999999999
231,Male,Yes,0,Graduate,No,1.0,Rural,1,3716.0,11.302475780409042,4.1202
232,Male,No,0,Not Graduate,No,1.0,Rural,1,5787.0,20.73613271124935,11.772
233,Female,No,0,Graduate,No,1.0,Semiurban,1,8333.0,33.60134405376215,27.468000000000004
234,Male,Yes,1,Graduate,No,1.0,Semiurban,1,4934.0,28.37454398054317,13.734000000000002
235,Male,Yes,1,Graduate,No,1.0,Rural,1,6760.0,25.14792899408284,16.677
236,Male,Yes,0,Graduate,No,1.0,Urban,0,5746.0,44.37869822485207,25.015500000000003
237,Female,No,0,Graduate,Yes,1.0,Urban,1,3463.0,35.229569737222064,11.968200000000003
238,Female,No,1,Graduate,No,1.0,Rural,1,3812.0,29.38090241343127,10.987200000000001
239,Male,Yes,1,Graduate,No,1.0,Semiurban,1,3315.0,28.959276018099548,9.4176
240,Male,Yes,2,Graduate,No,1.0,Rural,1,10819.0,11.09159811442832,11.772
241,Male,Yes,1,Not Graduate,No,1.0,Urban,0,4493.0,31.159581571333185,13.734000000000002
242,Male,No,0,Graduate,No,1.0,Urban,1,8666.0,17.88599123009462,15.2055
243,Male,Yes,2,Graduate,Yes,1.0,Rural,1,7550.0,14.304635761589404,10.5948
244,Male,Yes,0,Not Graduate,No,1.0,Semiurban,1,7823.0,15.722868464783332,12.066300000000002
245,Male,No,0,Graduate,Yes,1.0,Urban,0,10383.0,11.557353366079168,11.771999999999998
246,Male,Yes,2,Graduate,No,1.0,Urban,1,9703.0,11.542821807688345,10.987200000000001
247,Male,Yes,1,Not Graduate,No,1.0,Urban,1,6608.0,20.732445520581113,13.4397
248,Male,Yes,1,Graduate,No,1.0,Semiurban,1,4725.0,26.03174603174603,12.066300000000002
249,Male,Yes,0,Graduate,No,1.0,Urban,1,3677.0,24.476475387544195,8.829
250,Male,Yes,0,Not Graduate,No,0.0,Semiurban,0,5558.0,36.1640878013674,19.7181
251,Female,No,2,Graduate,No,1.0,Urban,0,3427.0,40.26845637583892,13.537799999999999
252,Male,No,0,Not Graduate,Yes,1.0,Rural,1,4750.0,21.894736842105264,10.202399999999999
253,Male,Yes,1,Not Graduate,No,1.0,Semiurban,1,9762.0,28.58020897357099,27.369899999999998
254,Male,No,0,Graduate,Yes,0.0,Urban,0,16250.0,11.815384615384616,18.8352
255,Female,No,3,Graduate,No,1.0,Rural,1,3083.0,82.71164450210834,25.015500000000003
256,Male,No,0,Not Graduate,No,0.0,Rural,0,6045.0,19.02398676592225,11.2815
257,Male,Yes,3,Graduate,No,1.0,Urban,0,5250.0,17.904761904761905,9.2214
258,Male,Yes,0,Graduate,No,1.0,Rural,0,16783.0,18.113567300244295,29.822400000000002
259,Male,Yes,3,Not Graduate,No,1.0,Semiurban,0,4931.0,25.958223484080307,12.5568
260,Male,Yes,1,Graduate,No,1.0,Urban,1,10333.0,31.93651408109939,32.373000000000005
261,Male,No,0,Graduate,No,1.0,Semiurban,1,4269.0,31.389084094635745,13.145399999999999
262,Female,No,1,Graduate,No,1.0,Semiurban,0,3481.0,44.52743464521689,15.205499999999999
263,Female,No,0,Graduate,No,1.0,Rural,1,7200.0,16.666666666666668,11.772
264,Male,No,0,Graduate,Yes,1.0,Semiurban,1,5166.0,24.77739063104917,12.5568
265,Male,No,0,Graduate,No,1.0,Rural,1,7542.0,20.02121453195439,14.8131
266,Male,Yes,2,Graduate,No,1.0,Semiurban,1,6095.0,24.61033634126333,14.715
267,Male,Yes,3,Graduate,No,0.0,Urban,1,6144.0,26.041666666666668,15.696
268,Female,No,0,Graduate,No,1.0,Rural,0,3418.0,39.496781743709775,13.243500000000001
269,Female,No,1,Graduate,No,1.0,Urban,1,4436.0,20.288548241659154,8.829
270,Female,No,0,Graduate,No,1.0,Urban,1,3237.0,9.267840593141798,2.943
271,Male,Yes,0,Graduate,No,1.0,Urban,1,11146.0,12.201686703750225,13.3416
272,Male,No,0,Graduate,No,1.0,Rural,1,4690.0,26.865671641791046,12.360600000000002
273,Male,Yes,0,Graduate,No,1.0,Semiurban,1,4843.0,30.97253768325418,14.715
274,Male,Yes,2,Graduate,No,1.0,Semiurban,1,3900.0,23.076923076923077,8.829
275,Male,Yes,1,Graduate,No,1.0,Semiurban,1,4592.0,25.04355400696864,11.2815
276,Male,Yes,0,Graduate,No,1.0,Semiurban,1,7267.0,28.48493188385854,20.3067
277,Male,Yes,0,Graduate,No,1.0,Urban,1,4403.0,18.169429934135817,7.848
278,Male,Yes,0,Graduate,No,1.0,Semiurban,1,14583.0,29.89782623602825,42.77160000000001
279,Female,Yes,0,Not Graduate,No,1.0,Rural,1,4100.0,30.24390243902439,12.164400000000002
280,Male,No,1,Not Graduate,Yes,0.0,Urban,0,6479.0,24.386479394968358,15.4998
281,Male,Yes,0,Graduate,No,1.0,Semiurban,1,4727.0,23.6936746350751,10.987200000000001
282,Male,Yes,2,Graduate,No,1.0,Urban,1,3286.7999878,23.731288879615956,7.6518
283,Female,No,0,Graduate,No,1.0,Urban,1,3477.0,15.530629853321829,5.2974
284,Male,Yes,0,Graduate,No,1.0,Rural,0,20667.0,6.193448492766246,12.5568
285,Male,No,0,Graduate,No,1.0,Rural,1,6211.0,14.329415553051039,8.7309
286,Female,No,0,Graduate,Yes,1.0,Semiurban,0,4317.0,22.932592077831828,9.711900000000002
287,Male,Yes,0,Graduate,No,1.0,Rural,1,5704.0,21.037868162692845,11.772
288,Female,No,0,Graduate,No,1.0,Semiurban,1,4124.0,27.885548011639184,11.2815
289,Male,No,0,Graduate,No,1.0,Rural,1,9508.0,19.667648296171645,18.3447
290,Male,Yes,0,Graduate,No,1.0,Rural,1,5491.0,25.314150427973047,13.6359
291,Male,Yes,2,Graduate,No,0.0,Semiurban,0,4400.0,28.863636363636363,12.4587
